Vol|Route|PageTitle|SEO_Title|H1|Eyebrow|Sub|PrimaryCTA|SecondaryCTA|Sections|ComponentTags|HeroInteractive|StatStripNote|FAQ_Count|Related
vol1|/platform|Platform Overview|InstaSafe Zero Trust Platform / ZTNA, ZTAA, IAM, MFA in One|Access control that works the way your network actually does.|INSTASAFE ZTNA PLATFORM|Identity, device, network, and application — every layer verified on every request. One console, one agent, one policy engine.|Book a Demo|Explore the Platform ↓|Stat strip;Plain answer — What is the InstaSafe platform?;The four layers (C23 Console Rows);The Trust Engine (A2 canonical block — reuse verbatim);How a request actually flows (numbered walkthrough — scroll section);Quick scan — platform specs;Three outcomes;Deployment & rollout|C23 Console Rows;A2 canonical block|none|[SOURCE NEEDED ×3: credential-theft share of breaches · VPN incident rate India · avg lateral-movement dwell time]|6|ZTNA · ZTAA · IAM · Why InstaSafe · Pricing
vol1|/platform/ztna|Zero Trust Network Access|Zero Trust Network Access (ZTNA) / InstaSafe|Network access that assumes nothing and verifies everything.|ZERO TRUST NETWORK ACCESS|Connect users to IP-layer resources — thick clients, legacy systems, network protocols — without putting your network on the internet.|Book a Demo|See the Breach Simulator ↓|Stat strip;Plain answer — What is ZTNA?;The problem, concretely (3 cards);How InstaSafe ZTNA works (feature depth);Quick scan — ZTNA specs;Three outcomes;Hero interactive — Breach Simulator|none|Breach Simulator (spec unchanged from v1; scroll-pinned SVG, VPN track vs ZTNA track, ScrollStage pattern with Autoplay + Skip controls)|[SOURCE NEEDED ×3 — ZTNA set from v2 A1]|7|ZTAA · Device Posture · Always-On · VPN Alternative · What is Zero Trust
vol1|/platform/ztaa|Zero Trust Application Access|Zero Trust Application Access (ZTAA) / InstaSafe|One portal. Every app. No network exposed.|ZERO TRUST APPLICATION ACCESS|Web apps, remote desktops, SSH, databases, file servers — opened from a browser, governed per session, invisible to everyone else.|Book a Demo|Try the Portal ↓|Plain answer — What is ZTAA?;With ZTAA you can (5 quick claims — old-site content, sharpened);Features grouped by job (C20 tabs — full detail);TAB 1 — CONNECT ANYONE;TAB 2 — CONTAIN EVERY SESSION;TAB 3 — PROVE EVERYTHING;TAB 4 — DECIDE PER REQUEST;Use cases (expanded);Quick scan — ZTAA specs;Three outcomes;Hero interactive — App Portal Simulator|C20 tabs|App Portal Simulator (spec from v1: clickable tiles, watermark demo, blocked-clipboard console message, session timer)|none|6|ZTNA · Endpoint Controls · Third-Party Access · DevOps Security · Database Access
vol1|/platform/iam|Identity & Access Management|Identity & Access Management (IAM) for Zero Trust / InstaSafe|The right user, the right resource, the right time.|IDENTITY & ACCESS MANAGEMENT|One identity layer across on-prem, cloud, and hybrid — directory sync, SSO, MFA, and risk-based decisions from a single control plane.|Book a Demo|Trace a Login ↓|Stat strip;Plain answer — What is IAM?;Capabilities (full depth);Quick scan — IAM specs;Three outcomes;Hero interactive — Login Tracer|none|Login Tracer (spec from v1: pick method + scenario, watch six gates pass/fail, final console log entry)|[SOURCE NEEDED ×3 — IAM set from v2 A1; verify the 80% weak-password figure before reuse]|5|SSO · MFA · Contextual Access · Behavioural Authentication
vol1|/platform/sso|Single Sign-On|Single Sign-On (SSO) / InstaSafe|Log in once. Get everything you're allowed.|SINGLE SIGN-ON|One set of credentials, one dashboard, every provisioned application — with MFA and device checks built into that single login.|Book a Demo|Watch the Race ↓|Plain answer — What is SSO?;Why password sprawl fails (3 pains, kept concrete);What InstaSafe SSO includes (full);Quick scan;Three outcomes;Hero interactive — One-Login Race|none|One-Login Race (spec from v1: split-screen timed comparison)|none|5|IAM · MFA · ZTAA portal · Pricing
vol1|/platform/mfa|Multi-Factor Authentication|Multi-Factor Authentication (MFA) / InstaSafe|A password is a guess. Prove it's really them.|MULTI-FACTOR AUTHENTICATION|Six authentication methods across web apps, desktops, servers, and network equipment — from SMS OTP to continuous facial verification.|Book a Demo|Try the Simulator ↓|Plain answer — What is MFA?;The six methods (full descriptions);Signature capability — Continuous Facial Authentication;Where MFA applies (coverage table — condensed from old site's four blocks, duplicates removed);Deployment;Quick scan;Three outcomes|none|none|none|6|SSO · IAM · Behavioural Authentication · Device Binding
vol1|/platform/secure-browser|Secure Enterprise Browser|Secure Enterprise Browser / InstaSafe|The browser is where your data actually is. Govern it there.|SECURE ENTERPRISE BROWSER|A Chromium-based enterprise browser with policy where consumer browsers have settings — clipboard, downloads, devtools, watermarking, MFA.|Book a Demo|Try the Leak Sandbox ↓|Plain answer — What is a secure enterprise browser?;Why consumer browsers fall short (4 cards, from old site, tightened);Key features;Three outcomes|none|none|none|4|ZTAA · Endpoint Controls · BYOD solution
vol1|/platform/device-posture|Device Posture Check|Device Posture Check / InstaSafe|The user checked out. Is the laptop lying?|DEVICE POSTURE|25 health-check types against 144 named rules — evaluated before access and re-evaluated during it.|Book a Demo|Toggle the Device Tester ↓|Plain answer — What is device posture checking?;The numbers, explained;How it's used (worked examples);Quick scan;Three outcomes;Hero interactive — Device Tester|none|Device Tester (toggle AV/firewall/patch state, watch allow↔deny flip live with the failing rule named)|none|4|Device Binding · Endpoint Controls · ZTNA · BYOD
vol1|/platform/device-binding|Device Authorization & Binding|Device Binding & Authorization / InstaSafe|Credentials say who. Binding says from what.|DEVICE BINDING|Every device is reviewed, approved, and certificated before its first session — and revocable in one click after its last.|Book a Demo|See the Approval Flow ↓|Plain answer — What is device binding?;How the workflow runs;Operational note (honest guidance):;Quick scan|none|none|none|4|Device Posture · Contextual Access · IAM
vol1|/platform/endpoint-controls|Endpoint Controls|Endpoint Session Controls / InstaSafe|Access granted is not the end of the story.|ENDPOINT CONTROLS|What happens inside the session — copying, downloading, wandering — is policy too.|Book a Demo|none|Plain answer — What are endpoint controls?;The six controls (full);Three outcomes|none|none|none|3|Secure Browser · ZTAA session controls · BYOD · Third-Party Access
